sensor_id,sensor_type,location,lat,lon,altitude,date,PM10,PM2.5
86028,PMS7003,76602,42.95803512,21.88746929,,2025-12-19,10.0,10.0
86101,PMS7003,76725,45.29157904,19.83007014,,2025-12-19,10.0,10.0
86169,PMS7003,76818,45.20196967,20.37671506,,2025-12-19,10.0,10.0
86311,PMS7003,76968,45.38412911,20.39092004,,2025-12-19,8.0,9.0
86316,PMS7003,76972,44.98831518,20.16893774,,2025-12-19,9.0,10.0
86389,PMS7003,80636,42.096,19.104,,2025-12-19,9.0,10.0
86549,PMS7003,77649,43.84360368,20.03371661,,2025-12-19,10.0,10.0
86582,PMS7003,77222,42.99808974,21.94568932,,2025-12-19,10.0,10.0
86600,PMS7003,77265,43.85775743,19.8402518,,2025-12-19,10.0,10.0
86712,PMS7003,77465,49.1160958,6.18339117,,2025-12-19,1.0,1.0
86819,PMS7003,77613,44.81277625,20.47755808,,2025-12-19,10.0,10.0
86880,PMS7003,77714,45.39118783,20.40816079,,2025-12-19,9.0,10.0
86992,PMS7003,77862,43.88675529,20.35471354,,2025-12-19,10.0,10.0
87688,PMS7003,78722,44.75646052,20.55990506,,2025-12-19,10.0,10.0
87895,PMS7003,80374,50.306199,18.63146067,,2025-12-19,1.0,2.0
87957,PMS7003,79088,44.57801181,20.41493654,,2025-12-19,5.0,7.0
88086,PMS7003,79214,44.36908759,19.36060504,,2025-12-19,10.0,10.0
88326,PMS7003,79526,45.07643672,20.95663645,,2025-12-19,3.0,5.0
88625,PMS7003,79873,43.91978711,21.37259147,,2025-12-19,10.0,10.0
88784,PMS7003,80123,51.2237,16.1604,,2025-12-19,2.0,2.0
88889,PMS7003,80463,42.55439467,21.90027757,,2025-12-19,10.0,10.0
88973,PMS7003,80391,44.76524435,21.51729073,,2025-12-19,10.0,10.0
89056,PMS7003,80506,45.11535189,20.61788808,,2025-12-19,10.0,10.0
89059,PMS7003,80507,43.216032,22.31066651,,2025-12-19,4.0,6.0
89627,PMS7003,81311,51.616,-3.932,,2025-12-19,1.0,1.0
89730,PMS7003,81406,48.8484582,2.465189,,2025-12-19,1.0,1.0
90109,PMS7003,82080,33.682,72.978,,2025-12-19,10.0,10.0
